product_type,product_name,valid_date,status,build_source,notes,daily_fields_path,debug_score_map_path,debug_category_map_path,presentation_score_map_path,presentation_category_map_path,city_rankings_csv_path,city_rankings_json_path,summary_csv_path,bundle_csv_path,bundle_json_path,samples_or_seam_path
region,west_coast,2026-04-03,completed,fetched_and_persisted,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_west_coast_openmeteo_daily_fields_20260403.nc,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_west_coast_openmeteo_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_west_coast_openmeteo_category_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_west_coast_openmeteo_presentation_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_west_coast_openmeteo_presentation_category_20260403.png,,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_west_coast_openmeteo_summary_20260403.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_region_region_west_coast_openmeteo_20260403_bundle.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_region_region_west_coast_openmeteo_20260403_bundle.json,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_west_coast_openmeteo_samples_20260403.csv
region,southwest,2026-04-03,completed,fetched_and_persisted,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_southwest_openmeteo_daily_fields_20260403.nc,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_southwest_openmeteo_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_southwest_openmeteo_category_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_southwest_openmeteo_presentation_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_southwest_openmeteo_presentation_category_20260403.png,,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_southwest_openmeteo_summary_20260403.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_region_region_southwest_openmeteo_20260403_bundle.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_region_region_southwest_openmeteo_20260403_bundle.json,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_southwest_openmeteo_samples_20260403.csv
region,rockies,2026-04-03,completed,fetched_and_persisted,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_rockies_openmeteo_daily_fields_20260403.nc,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_rockies_openmeteo_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_rockies_openmeteo_category_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_rockies_openmeteo_presentation_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_rockies_openmeteo_presentation_category_20260403.png,,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_rockies_openmeteo_summary_20260403.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_region_region_rockies_openmeteo_20260403_bundle.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_region_region_rockies_openmeteo_20260403_bundle.json,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_rockies_openmeteo_samples_20260403.csv
region,plains,2026-04-03,completed,fetched_and_persisted,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_plains_openmeteo_daily_fields_20260403.nc,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_plains_openmeteo_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_plains_openmeteo_category_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_plains_openmeteo_presentation_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_plains_openmeteo_presentation_category_20260403.png,,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_plains_openmeteo_summary_20260403.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_region_region_plains_openmeteo_20260403_bundle.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_region_region_plains_openmeteo_20260403_bundle.json,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_plains_openmeteo_samples_20260403.csv
region,southeast,2026-04-03,completed,fetched_and_persisted,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_southeast_openmeteo_daily_fields_20260403.nc,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_southeast_openmeteo_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_southeast_openmeteo_category_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_southeast_openmeteo_presentation_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_southeast_openmeteo_presentation_category_20260403.png,,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_southeast_openmeteo_summary_20260403.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_region_region_southeast_openmeteo_20260403_bundle.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_region_region_southeast_openmeteo_20260403_bundle.json,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_southeast_openmeteo_samples_20260403.csv
region,northeast,2026-04-03,completed,fetched_and_persisted,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_northeast_openmeteo_daily_fields_20260403.nc,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_northeast_openmeteo_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_northeast_openmeteo_category_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_northeast_openmeteo_presentation_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_northeast_openmeteo_presentation_category_20260403.png,,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_northeast_openmeteo_summary_20260403.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_region_region_northeast_openmeteo_20260403_bundle.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_region_region_northeast_openmeteo_20260403_bundle.json,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_northeast_openmeteo_samples_20260403.csv
region,great_lakes,2026-04-03,completed,fetched_and_persisted,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_great_lakes_openmeteo_daily_fields_20260403.nc,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_great_lakes_openmeteo_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_great_lakes_openmeteo_category_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_great_lakes_openmeteo_presentation_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_great_lakes_openmeteo_presentation_category_20260403.png,,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_great_lakes_openmeteo_summary_20260403.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_region_region_great_lakes_openmeteo_20260403_bundle.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_region_region_great_lakes_openmeteo_20260403_bundle.json,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_region_great_lakes_openmeteo_samples_20260403.csv
mosaic,west_coast+southwest+rockies,2026-04-03,completed,built_from_fresh_regions,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_openmeteo_daily_fields_20260403.nc,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_openmeteo_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_openmeteo_category_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_openmeteo_presentation_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_openmeteo_presentation_category_20260403.png,None,None,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_openmeteo_summary_20260403.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_mosaic_mosaic_west_coast_southwest_rockies_openmeteo_20260403_bundle.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_mosaic_mosaic_west_coast_southwest_rockies_openmeteo_20260403_bundle.json,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_openmeteo_summary_20260403.csv
mosaic,southwest+rockies,2026-04-03,completed,built_from_fresh_regions,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_southwest_rockies_openmeteo_daily_fields_20260403.nc,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_southwest_rockies_openmeteo_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_southwest_rockies_openmeteo_category_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_southwest_rockies_openmeteo_presentation_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_southwest_rockies_openmeteo_presentation_category_20260403.png,None,None,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_southwest_rockies_openmeteo_summary_20260403.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_mosaic_mosaic_southwest_rockies_openmeteo_20260403_bundle.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_mosaic_mosaic_southwest_rockies_openmeteo_20260403_bundle.json,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_southwest_rockies_openmeteo_summary_20260403.csv
mosaic,plains+great_lakes+northeast,2026-04-03,completed,built_from_fresh_regions,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_plains_great_lakes_northeast_openmeteo_daily_fields_20260403.nc,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_plains_great_lakes_northeast_openmeteo_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_plains_great_lakes_northeast_openmeteo_category_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_plains_great_lakes_northeast_openmeteo_presentation_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_plains_great_lakes_northeast_openmeteo_presentation_category_20260403.png,None,None,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_plains_great_lakes_northeast_openmeteo_summary_20260403.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_mosaic_mosaic_plains_great_lakes_northeast_openmeteo_20260403_bundle.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_mosaic_mosaic_plains_great_lakes_northeast_openmeteo_20260403_bundle.json,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_plains_great_lakes_northeast_openmeteo_summary_20260403.csv
mosaic,west_coast+southwest+rockies+plains+southeast+northeast+great_lakes,2026-04-03,completed,built_from_fresh_regions,,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_plains_southeast_northeast_great_lakes_openmeteo_daily_fields_20260403.nc,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_plains_southeast_northeast_great_lakes_openmeteo_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_plains_southeast_northeast_great_lakes_openmeteo_category_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_plains_southeast_northeast_great_lakes_openmeteo_presentation_score_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_plains_southeast_northeast_great_lakes_openmeteo_presentation_category_20260403.png,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_plains_southeast_northeast_great_lakes_openmeteo_city_rankings_20260403.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_plains_southeast_northeast_great_lakes_openmeteo_city_rankings_20260403.json,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_plains_southeast_northeast_great_lakes_openmeteo_summary_20260403.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_mosaic_mosaic_west_coast_southwest_rockies_plains_southeast_northeast_great_lakes_openmeteo_20260403_bundle.csv,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_publish_mosaic_mosaic_west_coast_southwest_rockies_plains_southeast_northeast_great_lakes_openmeteo_20260403_bundle.json,/home/runner/work/comfort_index/comfort_index/output/archive/2026/04/03/comfortwx_mosaic_west_coast_southwest_rockies_plains_southeast_northeast_great_lakes_openmeteo_summary_20260403.csv
